"id"	"duration"	"codec"	"width"	"height"	"bitrate"	"framerate"	"i"	"p"	"b"	"frames"	"i_size"	"p_size"	"b_size"	"size"	"o_codec"	"o_bitrate"	"o_framerate"	"o_width"	"o_height"	"umem"	"utime"
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	176	144	22508	0.612
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	320	240	25164	0.98
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	480	360	29228	1.216
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	640	480	34316	1.692
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	1280	720	58528	3.456
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	12	1920	1080	102072	6.32
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	176	144	23132	0.728
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	320	240	25164	0.944
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	480	360	29236	1.476
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	640	480	34312	1.964
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	1280	720	58536	3.968
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	15	1920	1080	102072	8.081
"04t6-jw9czg"	130.35667	"mpeg4"	176	144	54590	12	27	1537	0	1564	64483	825054	0	889537	"mpeg4"	56000	24	176	144	23348	0.896
